Tweet_count,Username,text,date,Retweets,Likes,clean_text,predicted_sentiment
1,Kyle Samani,"@0xGumshoe @multicoincap This is an unnecessary generalization

Ethereum never had a North Star. Solana does

That’s the difference",Fri Jan 31 01:36:04 +0000 2025,0,13,0xgumshoe multicoincap unnecessary generalization ethereum north star solana does thats difference,positive
2,Ryan Selkis (d/acc) 🇺🇸,"""I was catastrophically wrong, so now I'll be 10x as catastrophically wrong, rather than revisit my priors.""

It's ok @evan_van_ness, ETH is still great.",Thu Jan 30 17:09:07 +0000 2025,0,22,catastrophically wrong ill 10x catastrophically wrong revisit priors ok evanvanness eth great,neutral
3,toly 🇺🇸,@benafisch @gakonst Solana and ethereum could post data to each other ex-blobs to make it bi directional,Thu Jan 30 03:38:48 +0000 2025,0,8,benafisch gakonst solana ethereum post data exblobs make bi directional,neutral
4,raj 🖤,@GeormanZ too many words. just launch on solana,Thu Jan 30 02:11:57 +0000 2025,2,45,geormanz words just launch solana,neutral
5,raj 🖤,@0xKawz @solana indeed,Thu Jan 30 01:51:22 +0000 2025,0,5,0xkawz solana,neutral
6,raj 🖤,"just got two separate pieces of news that tell me 2025 is going to be solana summer v3.

for two completely separate reasons. LFG",Wed Jan 29 22:33:23 +0000 2025,323,2767,just got separate pieces news tell 2025 going solana summer v3 completely separate reasons lfg,neutral
7,Kyle Samani,"you can try to be ultrasound money

or you can try to compete with solana

but you can't be both. this proposal, while actually quite interesting, immediately destroys all credibility as ultrasound money",Wed Jan 29 16:24:28 +0000 2025,6,179,try ultrasound money try compete solana proposal actually quite interesting immediately destroys credibility ultrasound money,neutral
8,toly 🇺🇸,"@Kaleb0x @0xBreadguy How do you prove to the L1 bridge contract that alt-da data wasn’t withheld?  (Hint, if you could then you don’t need L2s, solana and ethereum can have fully trustless bridges between them)",Tue Jan 28 03:38:08 +0000 2025,0,9,kaleb0x 0xbreadguy prove l1 bridge contract altda data wasnt withheld hint dont need l2s solana ethereum fully trustless bridges,negative
9,toly 🇺🇸,It would be cool if each solana DEX flipped eth,Mon Jan 27 18:39:10 +0000 2025,65,685,cool solana dex flipped eth,positive
10,raj 🖤,"had a problem with the solana labs @vestaboard and @dgp helped me instantly, directly, on a sunday. founder mode!",Mon Jan 27 00:40:12 +0000 2025,1,48,problem solana labs vestaboard dgp helped instantly directly sunday founder mode,neutral
11,toly 🇺🇸,"@iampaulgrewal @coinbase @SECGov 💯💯💯 

The solana ecosystem is blessed to have @coinbase in our corner.",Sat Jan 25 16:58:52 +0000 2025,31,640,iampaulgrewal coinbase secgov solana ecosystem blessed coinbase corner,positive
12,raj 🖤,"if you're in crypto, pivot to solana",Sat Jan 25 15:08:19 +0000 2025,641,4548,youre crypto pivot solana,positive
13,raj 🖤,"in q4 of 2024 I got asked a lot about whether solana could compete with better funded, centralized platforms that launched their own L2's and L1's. the main questions were about whether developers could count on solana for distribution.

I haven't heard that question in 2025.",Sat Jan 25 15:00:10 +0000 2025,30,475,q4 2024 got asked lot solana compete better funded centralized platforms launched l2s l1s main questions developers count solana distribution havent heard question 2025,neutral
14,raj 🖤,"@Brandon_M_Kumar what part of their broken solana infrastructure had to do with caution toward security / fraud, exactly?",Sat Jan 25 05:25:51 +0000 2025,1,56,brandonmkumar broken solana infrastructure caution security fraud exactly,negative
