Tweet_count,Username,text,date,Retweets,Likes,clean_text,predicted_sentiment,btc_price
2,Ryan Selkis (d/acc) 🇺🇸,"""I was catastrophically wrong, so now I'll be 10x as catastrophically wrong, rather than revisit my priors.""

It's ok @evan_van_ness, ETH is still great.",2025-01-30,0,22,catastrophically wrong ill 10x catastrophically wrong revisit priors ok evanvanness eth great,0,104735.3046875
3,toly 🇺🇸,@benafisch @gakonst Solana and ethereum could post data to each other ex-blobs to make it bi directional,2025-01-30,0,8,benafisch gakonst solana ethereum post data exblobs make bi directional,0,104735.3046875
4,raj 🖤,@GeormanZ too many words. just launch on solana,2025-01-30,2,45,geormanz words just launch solana,0,104735.3046875
5,raj 🖤,@0xKawz @solana indeed,2025-01-30,0,5,0xkawz solana,0,104735.3046875
6,raj 🖤,"just got two separate pieces of news that tell me 2025 is going to be solana summer v3.

for two completely separate reasons. LFG",2025-01-29,323,2767,just got separate pieces news tell 2025 going solana summer v3 completely separate reasons lfg,0,103703.2109375
7,Kyle Samani,"you can try to be ultrasound money

or you can try to compete with solana

but you can't be both. this proposal, while actually quite interesting, immediately destroys all credibility as ultrasound money",2025-01-29,6,179,try ultrasound money try compete solana proposal actually quite interesting immediately destroys credibility ultrasound money,0,103703.2109375
8,toly 🇺🇸,"@Kaleb0x @0xBreadguy How do you prove to the L1 bridge contract that alt-da data wasn’t withheld?  (Hint, if you could then you don’t need L2s, solana and ethereum can have fully trustless bridges between them)",2025-01-28,0,9,kaleb0x 0xbreadguy prove l1 bridge contract altda data wasnt withheld hint dont need l2s solana ethereum fully trustless bridges,-1,101332.4765625
9,toly 🇺🇸,It would be cool if each solana DEX flipped eth,2025-01-27,65,685,cool solana dex flipped eth,1,102087.6875
10,raj 🖤,"had a problem with the solana labs @vestaboard and @dgp helped me instantly, directly, on a sunday. founder mode!",2025-01-27,1,48,problem solana labs vestaboard dgp helped instantly directly sunday founder mode,0,102087.6875
11,toly 🇺🇸,"@iampaulgrewal @coinbase @SECGov 💯💯💯 

The solana ecosystem is blessed to have @coinbase in our corner.",2025-01-25,31,640,iampaulgrewal coinbase secgov solana ecosystem blessed coinbase corner,1,104714.6484375
12,raj 🖤,"if you're in crypto, pivot to solana",2025-01-25,641,4548,youre crypto pivot solana,1,104714.6484375
13,raj 🖤,"in q4 of 2024 I got asked a lot about whether solana could compete with better funded, centralized platforms that launched their own L2's and L1's. the main questions were about whether developers could count on solana for distribution.

I haven't heard that question in 2025.",2025-01-25,30,475,q4 2024 got asked lot solana compete better funded centralized platforms launched l2s l1s main questions developers count solana distribution havent heard question 2025,0,104714.6484375
